Kecamatan,Nama
Pejawaran,Ratamba
Pejawaran,Sarwadadi
Pejawaran,Semangkung
Pejawaran,Sidengok
Pejawaran,Tlahab
Punggelan,Badakarya
Punggelan,Bondolharjo
Punggelan,Danakerta
Punggelan,Jembangan
Punggelan,Karangsari
Punggelan,Kecepit
Punggelan,Klapa
Punggelan,Mlaya
Punggelan,Petuguran
Punggelan,Punggelan
Punggelan,Purwasana
Punggelan,Sambong
Punggelan,Sawangan
Punggelan,Sidarata
Punggelan,Tanjungtirta
Punggelan,Tlaga
Punggelan,Tribuana
Purwanegara,Danaraja
Purwanegara,Gumiwang
Purwanegara,Kaliajir
Purwanegara,Kalipelus
Purwanegara,Kalitengah
Purwanegara,Karanganyar
Purwanegara,Kutawuluh
Purwanegara,Merden
Purwanegara,Mertasari
Purwanegara,Parakan
Purwanegara,Petir
Purwanegara,Pucungbeduk
Purwanegara,Purwonegoro
Purwareja Klampok,Kalilandak
Purwareja Klampok,Kalimandi
Purwareja Klampok,Kaliwinasuh
Purwareja Klampok,Kecitran
Purwareja Klampok,Klampok
Purwareja Klampok,Pagak
Purwareja Klampok,Purwareja
Purwareja Klampok,Sirkandi
Rakit,Adipasir
Rakit,Badamita
Rakit,Bandingan
Rakit,Gelang
Rakit,Kincang
Rakit,Lengkong
Rakit,Luwung
Rakit,Pingit
Rakit,Rakit
Rakit,Situwangi
Rakit,Tanjunganom
Sigaluh,Bandingan
Sigaluh,Bojanegara
Sigaluh,Gembongan
Sigaluh,Karangmangu
Sigaluh,Kel.Kalibenda
Sigaluh,Kemiri
Sigaluh,Panawaren
Sigaluh,Prigi
Sigaluh,Pringamba
Sigaluh,Randegan
Sigaluh,Sawal
Sigaluh,Sigaluh
Sigaluh,Singomerto
Sigaluh,Tunggoro
Sigaluh,Wanacipta
Susukan,Berta
Susukan,Brengkok
Susukan,Derik
Susukan,Dermasari
Susukan,Gumelemkulon
Susukan,Gumelemwetan
Susukan,Karangjati
Susukan,Karangsalam
Susukan,Kedawung
Susukan,Kemranggon
Susukan,Pakikiran
Susukan,Panarusankulon
Susukan,Panarusanwetan
Susukan,Piasawetan
Susukan,Susukan
Wanadadi,Gumingsir.
Wanadadi,Kandangwangi
Wanadadi,Karangjambe
Wanadadi,Karangkemiri
Wanadadi,Kasilib
Wanadadi,Lemahjaya
Wanadadi,Linggasari
Wanadadi,Medayu
Wanadadi,Tapen
Wanadadi,Wanadadi
Wanadadi,Wanakarsa
Wanayasa,Balun
Wanayasa,Bantar
Wanayasa,Dawuhan
Wanayasa,Jatilawang
Wanayasa,Karangtengah
Wanayasa,Kasimpar
Wanayasa,Kubang
Wanayasa,Legoksayem
Wanayasa,Pandansari
Wanayasa,Pegergunung
Wanayasa,Penanggungan
Wanayasa,Pesantren
Wanayasa,Susukan
Wanayasa,Suwidak
Wanayasa,Tempuran
Wanayasa,Wanaraja
Wanayasa,Wanayasa
